66.111.57.185 - - [20/Aug/2017:00:44:23 -0300] "CONNECT movel01.receita.fazenda.gov.br:443 HTTP/1.1" 400 -
82.233.111.87 - - [20/Aug/2017:00:58:12 -0300] "GET / HTTP/1.0" 200 11398
222.188.140.90 - - [20/Aug/2017:04:04:31 -0300] "GET / HTTP/1.1" 200 11418
77.22.57.154 - - [20/Aug/2017:08:50:29 -0300] "GET / HTTP/1.0" 200 11398
77.22.57.154 - - [20/Aug/2017:08:50:29 -0300] "GET / HTTP/1.0" 200 11398
77.22.57.154 - - [20/Aug/2017:08:50:29 -0300] "GET / HTTP/1.0" 200 11398
77.22.57.154 - - [20/Aug/2017:08:50:30 -0300] "GET / HTTP/1.1" 400 -
77.22.57.154 - - [20/Aug/2017:08:50:31 -0300] "GET / HTTP/1.0" 200 11398
77.22.57.154 - - [20/Aug/2017:08:50:32 -0300] "GET / HTTP/1.1" 200 11418
77.22.57.154 - - [20/Aug/2017:08:50:33 -0300] "HEAD /manager/html HTTP/1.0" 401 -
77.22.57.154 - - [20/Aug/2017:08:50:33 -0300] "HEAD /manager/html HTTP/1.0" 401 -
77.22.57.154 - - [20/Aug/2017:08:50:34 -0300] "HEAD /manager/html HTTP/1.0" 401 -
77.22.57.154 - - [20/Aug/2017:08:50:34 -0300] "HEAD /manager/html HTTP/1.0" 401 -
77.22.57.154 - - [20/Aug/2017:08:50:34 -0300] "HEAD /manager/html HTTP/1.0" 401 -
77.22.57.154 - - [20/Aug/2017:08:50:35 -0300] "HEAD /manager/html HTTP/1.0" 401 -
77.22.57.154 - - [20/Aug/2017:08:50:35 -0300] "HEAD /manager/html HTTP/1.0" 401 -
77.22.57.154 - - [20/Aug/2017:08:50:36 -0300] "HEAD /manager/html HTTP/1.0" 401 -
77.22.57.154 - - [20/Aug/2017:08:50:36 -0300] "HEAD /manager/html HTTP/1.0" 401 -
77.232.21.79 - - [20/Aug/2017:08:53:13 -0300] "CONNECT auth.api.sonyentertainmentnetwork.com:443 HTTP/1.0" 400 -
77.232.21.79 - - [20/Aug/2017:10:02:14 -0300] "CONNECT auth.api.sonyentertainmentnetwork.com:443 HTTP/1.0" 400 -
77.232.21.79 - - [20/Aug/2017:10:57:20 -0300] "CONNECT auth.api.sonyentertainmentnetwork.com:443 HTTP/1.0" 400 -
60.217.100.194 - - [20/Aug/2017:12:54:55 -0300] "GET / HTTP/1.0" 200 11398
77.72.82.184 - - [20/Aug/2017:14:15:14 -0300] "GET /proxy.php HTTP/1.1" 404 969
91.196.50.33 - - [20/Aug/2017:16:49:56 -0300] "GET /testproxy.php HTTP/1.1" 404 977
77.72.82.184 - - [20/Aug/2017:17:23:23 -0300] "GET /proxy.php HTTP/1.1" 404 969
47.203.90.112 - - [20/Aug/2017:17:44:13 -0300] "GET / HTTP/1.1" 200 11418
47.203.90.112 - - [20/Aug/2017:17:44:14 -0300] "-" 400 -
47.203.90.112 - - [20/Aug/2017:17:44:14 -0300] "-" 400 -
47.203.90.112 - - [20/Aug/2017:17:44:14 -0300] "-" 400 -
91.236.75.4 - - [20/Aug/2017:19:47:54 -0300] "GET / HTTP/1.1" 200 11418
77.72.82.184 - - [20/Aug/2017:21:03:40 -0300] "GET /proxy.php HTTP/1.1" 404 969
198.55.103.198 - - [20/Aug/2017:22:41:12 -0300] "GET / HTTP/1.1" 200 11418
198.55.103.198 - - [20/Aug/2017:22:41:13 -0300] "CONNECT www.alipay.com:443 HTTP/1.1" 400 -
