91.236.75.4 - - [14/Sep/2017:00:35:35 -0300] "GET / HTTP/1.1" 200 11418
163.172.168.251 - - [14/Sep/2017:00:36:16 -0300] "GET / HTTP/1.1" 200 11418
212.47.227.163 - - [14/Sep/2017:01:36:19 -0300] "GET / HTTP/1.1" 200 11418
164.132.110.123 - - [14/Sep/2017:01:53:33 -0300] "GET / HTTP/1.1" 200 11418
164.132.110.123 - - [14/Sep/2017:01:53:33 -0300] "CONNECT 178.32.49.230:80 HTTP/1.1" 400 -
164.132.110.123 - - [14/Sep/2017:01:53:34 -0300] "-" 400 -
164.132.110.123 - - [14/Sep/2017:01:53:34 -0300] "-" 400 -
212.47.227.163 - - [14/Sep/2017:02:19:00 -0300] "GET / HTTP/1.1" 200 11418
47.203.90.29 - - [14/Sep/2017:04:12:39 -0300] "GET / HTTP/1.1" 200 11418
47.203.90.29 - - [14/Sep/2017:04:12:39 -0300] "-" 400 -
47.203.90.29 - - [14/Sep/2017:04:12:39 -0300] "-" 400 -
47.203.90.29 - - [14/Sep/2017:04:12:39 -0300] "-" 400 -
163.172.149.131 - - [14/Sep/2017:04:47:25 -0300] "GET / HTTP/1.1" 200 11418
164.52.7.130 - - [14/Sep/2017:09:34:25 -0300] "-" 400 -
164.52.7.130 - - [14/Sep/2017:09:34:29 -0300] "GET / HTTP/1.1" 200 11418
139.162.79.87 - - [14/Sep/2017:09:42:50 -0300] "GET / HTTP/1.1" 200 11418
163.172.149.131 - - [14/Sep/2017:10:08:09 -0300] "GET / HTTP/1.1" 200 11418
60.191.38.77 - - [14/Sep/2017:10:20:48 -0300] "GET / HTTP/1.1" 200 11418
10.50.13.1 - - [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/workspace/pt/central HTTP/1.1" 200 5058
10.50.13.1 - - [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/images/jb_logo.png HTTP/1.1" 304 -
10.50.13.1 - - [14/Sep/2017:11:11:25 -0300] "POST /dashbuilder/workspace/pt/j_security_check HTTP/1.1" 302 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 304 -
10.50.13.1 - usuario [14/Sep/2017:11:11:25 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 304 -
