91.196.50.33 - - [03/Dec/2017:02:46:36 -0300] "GET /testproxy.php HTTP/1.1" 404 -
212.47.244.68 - - [03/Dec/2017:03:13:21 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [03/Dec/2017:05:17:36 -0300] "GET / HTTP/1.1" 404 -
66.249.83.20 - - [03/Dec/2017:05:49:23 -0300] "GET /dash/ HTTP/1.1" 404 -
66.249.83.22 - - [03/Dec/2017:05:49:23 -0300] "GET /estagios/workspace/pt/central/vagas HTTP/1.1" 200 6268
66.249.83.24 - - [03/Dec/2017:05:49:23 -0300] "GET /favicon.ico HTTP/1.1" 404 -
163.172.168.251 - - [03/Dec/2017:06:31:52 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [03/Dec/2017:06:50:50 -0300] "GET / HTTP/1.1" 404 -
36.73.209.30 - - [03/Dec/2017:07:28:30 -0300] "GET /manager/html HTTP/1.1" 401 2536
36.73.209.30 - - [03/Dec/2017:07:28:31 -0300] "PUT /W4cv5upHy.jsp/ HTTP/1.1" 404 -
212.47.227.163 - - [03/Dec/2017:08:03:17 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [03/Dec/2017:08:13:34 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [03/Dec/2017:09:16:55 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [03/Dec/2017:10:18:35 -0300] "GET / HTTP/1.1" 404 -
115.231.218.27 - - [03/Dec/2017:11:03:37 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.27 - - [03/Dec/2017:11:03:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.27 - - [03/Dec/2017:11:03:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.27 - - [03/Dec/2017:11:03:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.27 - - [03/Dec/2017:11:03:38 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.27 - - [03/Dec/2017:11:03:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.27 - - [03/Dec/2017:11:03:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.27 - - [03/Dec/2017:11:03:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.27 - - [03/Dec/2017:11:03:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
115.231.218.27 - - [03/Dec/2017:11:03:39 -0300] "GET /manager/html HTTP/1.1" 401 2536
