171.117.23.46 - - [10/Mar/2018:00:02:38 -0300] "GET /currentsetting.htm HTTP/1.1" 404 -
212.47.244.68 - - [10/Mar/2018:00:07:09 -0300] "GET / HTTP/1.1" 404 -
35.204.172.123 - - [10/Mar/2018:01:04:26 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.204.172.123 - - [10/Mar/2018:01:04:26 -0300] "GET / HTTP/1.1" 404 -
35.200.184.57 - - [10/Mar/2018:02:03:31 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.200.184.57 - - [10/Mar/2018:02:03:31 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [10/Mar/2018:02:10:48 -0300] "GET / HTTP/1.1" 404 -
184.154.47.2 - - [10/Mar/2018:03:44:07 -0300] "-" 400 -
184.154.47.6 - - [10/Mar/2018:03:44:09 -0300] "-" 400 -
184.154.47.6 - - [10/Mar/2018:03:44:09 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [10/Mar/2018:05:10:31 -0300] "GET / HTTP/1.1" 404 -
35.189.42.81 - - [10/Mar/2018:05:35:51 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.189.42.81 - - [10/Mar/2018:05:35:51 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [10/Mar/2018:05:37:47 -0300] "GET / HTTP/1.1" 404 -
35.202.208.188 - - [10/Mar/2018:05:48:37 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.202.208.188 - - [10/Mar/2018:05:48:37 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [10/Mar/2018:07:51:10 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [10/Mar/2018:07:56:42 -0300] "GET / HTTP/1.1" 404 -
35.231.101.8 - - [10/Mar/2018:08:40:44 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.231.101.8 - - [10/Mar/2018:08:40:44 -0300] "GET / HTTP/1.1" 404 -
159.89.118.148 - - [10/Mar/2018:10:22:04 -0300] "GET /dnscfg.cgi?dnsPrimary=200.98.150.236&dnsSecondary=192.99.190.183&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
159.89.118.148 - - [10/Mar/2018:10:22:05 -0300] "GET / HTTP/1.1" 404 -
35.231.101.8 - - [10/Mar/2018:10:37:56 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.231.101.8 - - [10/Mar/2018:10:37:56 -0300] "GET / HTTP/1.1" 404 -
130.211.148.61 - - [10/Mar/2018:10:52:10 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
130.211.148.61 - - [10/Mar/2018:10:52:10 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [10/Mar/2018:11:56:41 -0300] "GET / HTTP/1.1" 404 -
35.198.31.5 - - [10/Mar/2018:12:11:38 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.198.31.5 - - [10/Mar/2018:12:11:38 -0300] "GET / HTTP/1.1" 404 -
35.229.20.247 - - [10/Mar/2018:12:26:25 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.229.20.247 - - [10/Mar/2018:12:26:25 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [10/Mar/2018:12:41:59 -0300] "GET / HTTP/1.1" 404 -
35.198.252.141 - - [10/Mar/2018:13:37:06 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.198.252.141 - - [10/Mar/2018:13:37:06 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [10/Mar/2018:13:39:16 -0300] "GET / HTTP/1.1" 404 -
35.189.42.81 - - [10/Mar/2018:13:42:22 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.189.42.81 - - [10/Mar/2018:13:42:22 -0300] "GET / HTTP/1.1" 404 -
47.203.91.64 - - [10/Mar/2018:14:16:16 -0300] "GET / HTTP/1.1" 404 -
47.203.91.64 - - [10/Mar/2018:14:16:16 -0300] "-" 400 -
47.203.91.64 - - [10/Mar/2018:14:16:16 -0300] "-" 400 -
47.203.91.64 - - [10/Mar/2018:14:16:17 -0300] "-" 400 -
130.211.148.61 - - [10/Mar/2018:14:48:38 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
130.211.148.61 - - [10/Mar/2018:14:48:38 -0300] "GET / HTTP/1.1" 404 -
