125.39.222.247 - - [02/Oct/2017:00:45:51 -0300] "CONNECT 200.17.32.214 HTTP/1.1" 400 -
212.47.244.68 - - [02/Oct/2017:00:57:17 -0300] "GET / HTTP/1.1" 200 6194
221.195.111.202 - - [02/Oct/2017:01:24:41 -0300] "GET /manager/html HTTP/1.1" 401 2536
221.195.111.202 - - [02/Oct/2017:01:24:43 -0300] "GET /manager/html HTTP/1.1" 401 2536
221.195.111.202 - - [02/Oct/2017:01:24:44 -0300] "GET /manager/html HTTP/1.1" 401 2536
221.195.111.202 - - [02/Oct/2017:01:24:44 -0300] "GET /manager/html HTTP/1.1" 401 2536
221.195.111.202 - - [02/Oct/2017:01:24:45 -0300] "GET /manager/html HTTP/1.1" 401 2536
221.195.111.202 - - [02/Oct/2017:01:24:47 -0300] "GET /manager/html HTTP/1.1" 401 2536
221.195.111.202 - - [02/Oct/2017:01:24:48 -0300] "GET /manager/html HTTP/1.1" 401 2536
37.115.6.143 - - [02/Oct/2017:01:26:20 -0300] "GET / HTTP/1.1" 200 6194
37.115.6.143 - - [02/Oct/2017:01:26:27 -0300] "GET /HNAP1/ HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:02:33:44 -0300] "GET / HTTP/1.1" 200 6194
212.47.227.163 - - [02/Oct/2017:02:43:48 -0300] "GET / HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:03:16:31 -0300] "GET / HTTP/1.1" 200 6194
212.47.227.163 - - [02/Oct/2017:03:40:39 -0300] "GET / HTTP/1.1" 200 6194
163.172.149.131 - - [02/Oct/2017:03:46:50 -0300] "GET / HTTP/1.1" 200 6194
171.120.31.51 - - [02/Oct/2017:03:47:14 -0300] "GET /currentsetting.htm HTTP/1.1" 200 6194
163.172.149.131 - - [02/Oct/2017:05:41:32 -0300] "GET / HTTP/1.1" 200 6194
77.72.83.15 - - [02/Oct/2017:06:15:06 -0300] "-" 400 -
212.47.227.163 - - [02/Oct/2017:06:26:33 -0300] "GET / HTTP/1.1" 200 6194
163.172.168.251 - - [02/Oct/2017:06:45:29 -0300] "GET / HTTP/1.1" 200 6194
109.26.44.197 - - [02/Oct/2017:07:07:16 -0300] "GET / HTTP/1.0" 200 6194
212.47.227.163 - - [02/Oct/2017:07:11:06 -0300] "GET / HTTP/1.1" 200 6194
163.172.168.251 - - [02/Oct/2017:07:36:07 -0300] "GET / HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:07:41:59 -0300] "GET / HTTP/1.1" 200 6194
139.60.160.135 - - [02/Oct/2017:07:59:53 -0300] "-" 400 -
163.172.168.251 - - [02/Oct/2017:08:28:14 -0300] "GET / HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:08:41:06 -0300] "GET / HTTP/1.1" 200 6194
163.172.149.131 - - [02/Oct/2017:08:55:52 -0300] "GET / HTTP/1.1" 200 6194
163.172.168.251 - - [02/Oct/2017:09:08:12 -0300] "GET / HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:11:08:40 -0300] "GET / HTTP/1.1" 200 6194
139.162.111.98 - - [02/Oct/2017:11:30:55 -0300] "GET / HTTP/1.1" 200 6194
66.249.85.22 - - [02/Oct/2017:12:25:19 -0300] "GET /workspace/pt/central/indicadores?csrf=99202685 HTTP/1.1" 200 6194
66.249.85.22 - - [02/Oct/2017:12:25:20 -0300] "GET /favicon.ico HTTP/1.1" 200 6194
66.249.85.21 - - [02/Oct/2017:12:25:32 -0300] "GET / HTTP/1.1" 200 6194
66.249.85.23 - - [02/Oct/2017:12:25:32 -0300] "GET /favicon.ico HTTP/1.1" 200 6194
163.172.149.131 - - [02/Oct/2017:12:42:42 -0300] "GET / HTTP/1.1" 200 6194
163.172.168.251 - - [02/Oct/2017:13:23:06 -0300] "GET / HTTP/1.1" 200 6194
212.47.227.163 - - [02/Oct/2017:13:26:04 -0300] "GET / HTTP/1.1" 200 6194
212.47.227.163 - - [02/Oct/2017:13:47:18 -0300] "GET / HTTP/1.1" 200 6194
163.172.149.131 - - [02/Oct/2017:14:17:44 -0300] "GET / HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:14:47:52 -0300] "GET / HTTP/1.1" 200 6194
163.172.149.131 - - [02/Oct/2017:15:02:56 -0300] "GET / HTTP/1.1" 200 6194
212.47.227.163 - - [02/Oct/2017:15:41:44 -0300] "GET / HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:15:42:48 -0300] "GET / HTTP/1.1" 200 6194
198.55.103.198 - - [02/Oct/2017:16:11:36 -0300] "GET /azenv.php HTTP/1.1" 200 6194
198.55.103.198 - - [02/Oct/2017:16:11:36 -0300] "CONNECT www.baidu.com:443 HTTP/1.1" 400 -
163.172.149.131 - - [02/Oct/2017:16:23:07 -0300] "GET / HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:17:25:03 -0300] "GET / HTTP/1.1" 200 6194
163.172.168.251 - - [02/Oct/2017:18:59:47 -0300] "GET / HTTP/1.1" 200 6194
212.47.227.163 - - [02/Oct/2017:19:03:37 -0300] "GET / HTTP/1.1" 200 6194
212.47.227.163 - - [02/Oct/2017:19:25:29 -0300] "GET / HTTP/1.1" 200 6194
209.126.136.4 - - [02/Oct/2017:20:02:52 -0300] "GET / HTTP/1.1" 200 6194
212.47.227.163 - - [02/Oct/2017:20:22:06 -0300] "GET / HTTP/1.1" 200 6194
216.249.95.232 - - [02/Oct/2017:20:22:49 -0300] "GET / HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:20:25:10 -0300] "GET / HTTP/1.1" 200 6194
163.172.168.251 - - [02/Oct/2017:20:26:46 -0300] "GET / HTTP/1.1" 200 6194
163.172.149.131 - - [02/Oct/2017:22:04:32 -0300] "GET / HTTP/1.1" 200 6194
212.47.244.68 - - [02/Oct/2017:23:11:47 -0300] "GET / HTTP/1.1" 200 6194
