155.94.88.58 - - [07/Nov/2017:01:19:38 -0300] "GET / HTTP/1.0" 404 -
163.172.168.251 - - [07/Nov/2017:04:12:15 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [07/Nov/2017:04:27:06 -0300] "GET / HTTP/1.1" 404 -
52.232.248.208 - - [07/Nov/2017:05:30:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
52.232.248.208 - - [07/Nov/2017:05:30:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
52.232.248.208 - - [07/Nov/2017:05:30:31 -0300] "GET /manager/html HTTP/1.1" 401 2536
52.232.248.208 - - [07/Nov/2017:05:30:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
52.232.248.208 - - [07/Nov/2017:05:30:32 -0300] "GET /manager/html HTTP/1.1" 401 2536
163.172.149.131 - - [07/Nov/2017:06:10:41 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [07/Nov/2017:07:05:18 -0300] "GET / HTTP/1.1" 404 -
35.198.169.125 - - [07/Nov/2017:08:17:51 -0300] "GET / HTTP/1.1" 404 -
10.50.22.13 - - [07/Nov/2017:08:18:21 -0300] "GET /estagios HTTP/1.1" 302 -
10.50.22.13 - - [07/Nov/2017:08:18:21 -0300] "GET /estagios/ HTTP/1.1" 200 6268
10.50.22.13 - - [07/Nov/2017:08:18:21 -0300] "GET /favicon.ico HTTP/1.1" 404 -
10.50.22.13 - - [07/Nov/2017:08:18:32 -0300] "POST /estagios/j_security_check HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 200 4207
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 200 149361
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 200 3579
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 200 115812
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 200 15395
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 200 8600
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 200 10462
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 200 2703
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 200 6510
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 200 6398
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 200 10901
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 200 20898
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 200 10318
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 200 11406
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 200 9428
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 200 2032
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/templates/css/panel_properties.css HTTP/1.1" 200 1834
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 200 8133
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/section/css/RenderSection.css HTTP/1.1" 200 1643
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 200 38471
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/scriptaculous.js HTTP/1.1" 200 2931
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 200 31066
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/common/rs/popup.js HTTP/1.1" 200 14707
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/prototype.js HTTP/1.1" 200 215309
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/ckeditor/ckeditor.js HTTP/1.1" 200 479639
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/ HTTP/1.1" 200 111248
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/images/deppi.png HTTP/1.1" 200 1381
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/images/logo_if.png HTTP/1.1" 200 34937
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/images/Barra_Menu.png HTTP/1.1" 200 1072
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/builder.js HTTP/1.1" 200 4744
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/controls.js HTTP/1.1" 200 34787
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/sound.js HTTP/1.1" 200 2456
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/images/general/resize.gif HTTP/1.1" 200 160
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/slider.js HTTP/1.1" 200 10162
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/images/home_page.jpg HTTP/1.1" 200 366573
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/images/general/loading.gif HTTP/1.1" 200 17782
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/colorpicker/images/position.png HTTP/1.1" 200 267
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/colorpicker/images/crosshairs.png HTTP/1.1" 200 218
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/colorpicker/images/h.png HTTP/1.1" 200 380
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/colorpicker/images/close.gif HTTP/1.1" 200 601
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/components/colorpicker/images/sv.png HTTP/1.1" 200 11373
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/Bg_Top-left.jpg HTTP/1.1" 200 17813
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/General_Logo.png HTTP/1.1" 200 7509
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/envelopes/Envelope_IFCE/images/Bg_Top-right.jpg HTTP/1.1" 200 17813
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/favicon.ico HTTP/1.1" 200 1150
10.50.22.13 - usuario [07/Nov/2017:08:18:32 -0300] "GET /estagios/favicon.ico HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/section/css/RenderSection.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/templates/css/panel_properties.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/images/general/16x16/ico-info.png HTTP/1.1" 200 3230
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/images/general/16x16/ico-calendar.png HTTP/1.1" 200 1160
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/images/general/16x16/ico-trash.png HTTP/1.1" 200 1317
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/section/images/menup_right.png HTTP/1.1" 200 1741
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/section/images/menup_left.png HTTP/1.1" 200 1442
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/workspace/pt/central/indicadores?csrf=71854021 HTTP/1.1" 200 205030
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/workspace/pt/central/images/deppi.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/images/deppi.png HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/workspace/pt/central/images/logo_if.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/images/logo_if.png HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/workspace/pt/central/images/Barra_Menu.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/images/Barra_Menu.png HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:18:36 -0300] "GET /estagios/workspace/pt/central/images/Barra_Filtros.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:08:18:37 -0300] "GET /estagios/images/Barra_Filtros.png HTTP/1.1" 200 1721
10.50.22.13 - usuario [07/Nov/2017:08:18:50 -0300] "GET /estagios/workspace/pt/central/indicadores?idPanel=2063&pAction=_select&csrf=00158398&ajaxAction=true HTTP/1.1" 200 12507
10.50.22.13 - usuario [07/Nov/2017:08:20:19 -0300] "GET /estagios/section/css/RenderSection.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:20:19 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:20:19 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:20:19 -0300] "GET /estagios/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:20:19 -0300] "GET /estagios/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:20:20 -0300] "GET /estagios/templates/css/panel_properties.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:20:20 -0300] "GET /estagios/workspace/pt/central/ajuda?csrf=71854021 HTTP/1.1" 200 112202
10.50.22.13 - usuario [07/Nov/2017:08:20:20 -0300] "GET /estagios/workspace/pt/central/images/deppi.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:08:20:20 -0300] "GET /estagios/images/deppi.png HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:20:20 -0300] "GET /estagios/workspace/pt/central/images/logo_if.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:08:20:20 -0300] "GET /estagios/workspace/pt/central/images/Barra_Menu.png HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:08:20:20 -0300] "GET /estagios/images/logo_if.png HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:08:20:20 -0300] "GET /estagios/images/Barra_Menu.png HTTP/1.1" 304 -
78.210.16.155 - - [07/Nov/2017:08:21:05 -0300] "GET / HTTP/1.0" 404 -
10.50.13.1 - - [07/Nov/2017:08:38:33 -0300] "GET /estagios/workspace/pt/central/inicio?csrf=68035896 HTTP/1.1" 200 6268
212.47.227.163 - - [07/Nov/2017:08:44:30 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [07/Nov/2017:08:54:28 -0300] "GET / HTTP/1.1" 404 -
10.50.22.13 - - [07/Nov/2017:09:01:22 -0300] "GET /estagios/ HTTP/1.1" 200 6268
10.50.22.13 - - [07/Nov/2017:09:01:44 -0300] "POST /estagios/j_security_check HTTP/1.1" 302 -
10.50.22.13 - usuario [07/Nov/2017:09:01:44 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:09:01:44 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:09:01:44 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:09:01:44 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.50.22.13 - usuario [07/Nov/2017:09:01:44 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 304 -
