114.32.142.244 - - [25/Feb/2018:00:22:39 -0300] "GET / HTTP/1.0" 404 -
212.47.227.163 - - [25/Feb/2018:00:31:56 -0300] "GET / HTTP/1.1" 404 -
52.91.96.240 - - [25/Feb/2018:00:32:05 -0300] "GET /wls-wsat/CoordinatorPortType HTTP/1.1" 404 -
60.191.38.77 - - [25/Feb/2018:00:33:27 -0300] "GET / HTTP/1.1" 404 -
35.198.33.232 - - [25/Feb/2018:01:15:14 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.198.33.232 - - [25/Feb/2018:01:15:14 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [25/Feb/2018:01:22:04 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [25/Feb/2018:01:49:44 -0300] "GET / HTTP/1.1" 404 -
35.199.96.79 - - [25/Feb/2018:02:01:15 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.199.96.79 - - [25/Feb/2018:02:01:15 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [25/Feb/2018:02:46:32 -0300] "GET / HTTP/1.1" 404 -
35.204.169.187 - - [25/Feb/2018:03:04:24 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.204.169.187 - - [25/Feb/2018:03:04:24 -0300] "GET / HTTP/1.1" 404 -
35.198.60.254 - - [25/Feb/2018:03:31:39 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.198.60.254 - - [25/Feb/2018:03:31:40 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [25/Feb/2018:03:33:38 -0300] "GET / HTTP/1.1" 404 -
139.162.79.87 - - [25/Feb/2018:04:25:57 -0300] "GET / HTTP/1.1" 404 -
35.197.163.15 - - [25/Feb/2018:04:26:45 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.197.163.15 - - [25/Feb/2018:04:26:45 -0300] "GET / HTTP/1.1" 404 -
35.199.96.79 - - [25/Feb/2018:07:11:40 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.199.96.79 - - [25/Feb/2018:07:11:40 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [25/Feb/2018:08:11:59 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [25/Feb/2018:08:27:14 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [25/Feb/2018:08:42:18 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [25/Feb/2018:10:03:02 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [25/Feb/2018:10:24:59 -0300] "GET / HTTP/1.1" 404 -
35.230.161.254 - - [25/Feb/2018:11:24:03 -0300] "GET /dnscfg.cgi?dnsPrimary=185.70.186.4&dnsSecondary=185.70.186.7&dnsDynamic=0&dnsRefresh=1 HTTP/1.1" 404 -
35.230.161.254 - - [25/Feb/2018:11:24:03 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [25/Feb/2018:11:49:01 -0300] "GET / HTTP/1.1" 404 -
