207.46.228.208 - - [09/Oct/2017:00:19:24 -0300] "-" 400 -
186.213.7.225 - - [09/Oct/2017:00:19:51 -0300] "GET / HTTP/1.1" 200 4964
186.213.7.225 - - [09/Oct/2017:00:19:51 -0300] "GET /images/jb_logo.png HTTP/1.1" 200 10658
186.213.7.225 - - [09/Oct/2017:00:19:51 -0300] "GET /favicon.ico HTTP/1.1" 200 4964
186.213.7.225 - - [09/Oct/2017:00:20:04 -0300] "POST /j_security_check HTTP/1.1" 302 -
186.213.7.225 - deppi [09/Oct/2017:00:20:04 -0300] "GET /favicon.ico HTTP/1.1" 200 1150
186.213.7.225 - deppi [09/Oct/2017:00:20:04 -0300] "GET /favicon.ico HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 200 4207
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 200 3579
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 200 15395
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 200 10462
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 200 8600
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 200 6510
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 200 115812
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 200 149361
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 200 9428
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 200 20898
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 200 10318
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 200 11406
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 200 8133
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /js/lib/scriptaculous-js-1.9.0/scriptaculous.js HTTP/1.1" 200 2931
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 200 38471
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 200 31066
186.213.7.225 - deppi [09/Oct/2017:00:20:40 -0300] "GET /common/rs/popup.js HTTP/1.1" 200 14707
186.213.7.225 - deppi [09/Oct/2017:00:20:41 -0300] "GET /js/lib/scriptaculous-js-1.9.0/prototype.js HTTP/1.1" 200 215309
186.213.7.225 - deppi [09/Oct/2017:00:20:41 -0300] "GET /js/lib/scriptaculous-js-1.9.0/builder.js HTTP/1.1" 200 4744
186.213.7.225 - deppi [09/Oct/2017:00:20:41 -0300] "GET /js/lib/scriptaculous-js-1.9.0/controls.js HTTP/1.1" 200 34787
186.213.7.225 - deppi [09/Oct/2017:00:20:41 -0300] "GET /js/lib/scriptaculous-js-1.9.0/slider.js HTTP/1.1" 200 10162
186.213.7.225 - deppi [09/Oct/2017:00:20:41 -0300] "GET /js/lib/scriptaculous-js-1.9.0/sound.js HTTP/1.1" 200 2456
186.213.7.225 - deppi [09/Oct/2017:00:20:41 -0300] "GET /ckeditor/ckeditor.js HTTP/1.1" 200 479639
186.213.7.225 - deppi [09/Oct/2017:00:20:42 -0300] "GET /components/colorpicker/images/position.png HTTP/1.1" 200 267
186.213.7.225 - deppi [09/Oct/2017:00:20:42 -0300] "GET /components/colorpicker/images/h.png HTTP/1.1" 200 380
186.213.7.225 - deppi [09/Oct/2017:00:20:42 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 200 6398
186.213.7.225 - deppi [09/Oct/2017:00:20:42 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 200 2703
186.213.7.225 - deppi [09/Oct/2017:00:20:42 -0300] "GET /components/colorpicker/images/sv.png HTTP/1.1" 200 11373
186.213.7.225 - deppi [09/Oct/2017:00:20:42 -0300] "GET /components/bam/displayer/chart/nv.d3.css HTTP/1.1" 200 10901
186.213.7.225 - deppi [09/Oct/2017:00:20:42 -0300] "GET /components/colorpicker/images/crosshairs.png HTTP/1.1" 200 218
186.213.7.225 - deppi [09/Oct/2017:00:20:42 -0300] "GET /components/colorpicker/images/close.gif HTTP/1.1" 200 601
186.213.7.225 - deppi [09/Oct/2017:00:20:43 -0300] "GET /components/modalDialogComponent/css/PopUps.css HTTP/1.1" 200 2032
186.213.7.225 - deppi [09/Oct/2017:00:20:43 -0300] "GET /templates/css/administration_bar.css HTTP/1.1" 200 1475
186.213.7.225 - deppi [09/Oct/2017:00:20:44 -0300] "GET /images/adminHeader/new-workspace.png HTTP/1.1" 200 1086
186.213.7.225 - deppi [09/Oct/2017:00:20:44 -0300] "GET /images/adminHeader/edit.png HTTP/1.1" 200 1230
186.213.7.225 - deppi [09/Oct/2017:00:20:44 -0300] "GET /images/adminHeader/duplicate-workspace.png HTTP/1.1" 200 1211
186.213.7.225 - deppi [09/Oct/2017:00:20:44 -0300] "GET /templates/css/images/bg_select.png HTTP/1.1" 200 1279
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /images/adminHeader/new-section.png HTTP/1.1" 200 1068
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /images/adminHeader/remove.png HTTP/1.1" 200 1195
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /images/adminHeader/duplicate-section.png HTTP/1.1" 200 1169
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /images/adminHeader/new-panel.png HTTP/1.1" 200 1182
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /images/adminHeader/processes.png HTTP/1.1" 200 1135
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /section/css/RenderSection.css HTTP/1.1" 200 1643
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /templates/css/panel_properties.css HTTP/1.1" 200 1834
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /images/adminHeader/admin_up.png HTTP/1.1" 200 1127
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /images/adminHeader/login-logout.png HTTP/1.1" 200 1243
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /templates/css/images/shadow_admin-bar.png HTTP/1.1" 200 969
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /envelopes/Default_Envelope/images/Bg_Top-left.jpg HTTP/1.1" 200 49558
186.213.7.225 - deppi [09/Oct/2017:00:20:45 -0300] "GET /envelopes/Default_Envelope/images/General_Logo.png HTTP/1.1" 200 4918
186.213.7.225 - deppi [09/Oct/2017:00:20:46 -0300] "GET /envelopes/Default_Envelope/images/Bg_Top-right.jpg HTTP/1.1" 200 47884
186.213.7.225 - deppi [09/Oct/2017:00:20:47 -0300] "GET /images/general/movePanel.gif HTTP/1.1" 200 1148
186.213.7.225 - deppi [09/Oct/2017:00:20:47 -0300] "GET /images/general/PopMenu.gif HTTP/1.1" 200 1252
186.213.7.225 - deppi [09/Oct/2017:00:20:47 -0300] "GET /images/panelProperties/EditMod.png HTTP/1.1" 200 1248
186.213.7.225 - deppi [09/Oct/2017:00:20:47 -0300] "GET /images/panelProperties/PropertiesMod.png HTTP/1.1" 200 1389
186.213.7.225 - deppi [09/Oct/2017:00:20:47 -0300] "GET /images/panelProperties/Erase.png HTTP/1.1" 200 1270
186.213.7.225 - deppi [09/Oct/2017:00:20:47 -0300] "GET /images/panelProperties/HelpMod.png HTTP/1.1" 200 1366
186.213.7.225 - deppi [09/Oct/2017:00:20:47 -0300] "GET /images/panelProperties/CloseMenu.png HTTP/1.1" 200 1352
186.213.7.225 - deppi [09/Oct/2017:00:20:47 -0300] "GET /images/general/resize.gif HTTP/1.1" 200 160
186.213.7.225 - deppi [09/Oct/2017:00:20:47 -0300] "GET /images/home-image.jpg HTTP/1.1" 200 41836
186.213.7.225 - deppi [09/Oct/2017:00:20:48 -0300] "GET / HTTP/1.1" 200 211891
186.213.7.225 - deppi [09/Oct/2017:00:20:48 -0300] "GET /images/general/loading.gif HTTP/1.1" 200 17782
186.213.7.225 - deppi [09/Oct/2017:00:20:50 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:50 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:51 -0300] "GET /workspace/pt/showcase/images/SampleDashboardsImage.jpg HTTP/1.1" 302 -
186.213.7.225 - deppi [09/Oct/2017:00:20:51 -0300] "GET /images/SampleDashboardsImage.jpg HTTP/1.1" 200 40985
186.213.7.225 - deppi [09/Oct/2017:00:20:51 -0300] "GET /workspace/pt/showcase/samples?csrf=27968510 HTTP/1.1" 200 238540
186.213.7.225 - deppi [09/Oct/2017:00:20:51 -0300] "GET /images/general/loading.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:53 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:53 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:55 -0300] "GET /images/general/16x16/ico-calendar.png HTTP/1.1" 200 1160
186.213.7.225 - deppi [09/Oct/2017:00:20:55 -0300] "GET /images/general/16x16/ico-info.png HTTP/1.1" 200 3230
186.213.7.225 - deppi [09/Oct/2017:00:20:55 -0300] "GET /images/general/16x16/ico-filter.png HTTP/1.1" 200 1185
186.213.7.225 - deppi [09/Oct/2017:00:20:55 -0300] "GET /images/general/16x16/ico-trash.png HTTP/1.1" 200 1317
186.213.7.225 - deppi [09/Oct/2017:00:20:55 -0300] "GET /images/general/16x16/ico-refresh.png HTTP/1.1" 200 1409
186.213.7.225 - deppi [09/Oct/2017:00:20:55 -0300] "GET /images/general/resize.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:55 -0300] "GET /workspace/pt/showcase/sales-dashboard?csrf=39442942 HTTP/1.1" 200 361750
186.213.7.225 - deppi [09/Oct/2017:00:20:55 -0300] "GET /images/general/loading.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:58 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:58 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:20:59 -0300] "GET /workspace/pt/showcase/sales-pipeline?csrf=51124070 HTTP/1.1" 200 356664
186.213.7.225 - deppi [09/Oct/2017:00:20:59 -0300] "GET /section/images/menup_right.png HTTP/1.1" 200 1741
186.213.7.225 - deppi [09/Oct/2017:00:20:59 -0300] "GET /section/images/menup_left.png HTTP/1.1" 200 1442
186.213.7.225 - deppi [09/Oct/2017:00:22:54 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:22:54 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:22:55 -0300] "GET /images/general/16x16/ico-calendar.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:22:55 -0300] "GET /images/general/16x16/ico-info.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:22:55 -0300] "GET /images/general/16x16/ico-filter.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:22:55 -0300] "GET /images/general/16x16/ico-trash.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:22:55 -0300] "GET /images/general/16x16/ico-refresh.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:22:55 -0300] "GET /images/general/resize.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:22:56 -0300] "GET /workspace/pt/showcase/sales-report?csrf=17486836 HTTP/1.1" 200 483962
186.213.7.225 - deppi [09/Oct/2017:00:22:56 -0300] "GET /images/general/22x22/CSV.png HTTP/1.1" 200 4118
186.213.7.225 - deppi [09/Oct/2017:00:22:56 -0300] "GET /images/general/16x16/order.gif HTTP/1.1" 200 66
186.213.7.225 - deppi [09/Oct/2017:00:22:56 -0300] "GET /images/general/22x22/MSExcel.png HTTP/1.1" 200 4278
186.213.7.225 - deppi [09/Oct/2017:00:22:56 -0300] "GET /images/general/12x12/ico-page_first.png HTTP/1.1" 200 986
186.213.7.225 - deppi [09/Oct/2017:00:22:56 -0300] "GET /images/general/12x12/ico-page_previous.png HTTP/1.1" 200 983
186.213.7.225 - deppi [09/Oct/2017:00:22:56 -0300] "GET /images/general/12x12/ico-page_following.png HTTP/1.1" 200 985
186.213.7.225 - deppi [09/Oct/2017:00:22:56 -0300] "GET /images/general/12x12/ico-page_last.png HTTP/1.1" 200 989
186.213.7.225 - deppi [09/Oct/2017:00:22:56 -0300] "GET /images/general/loading.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:23:02 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:23:02 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:23:02 -0300] "GET /workspace/pt/showcase/administration?csrf=57973216 HTTP/1.1" 200 239015
186.213.7.225 - deppi [09/Oct/2017:00:23:02 -0300] "GET /workspace/pt/showcase/images/AdministrationImage.jpg HTTP/1.1" 302 -
186.213.7.225 - deppi [09/Oct/2017:00:23:03 -0300] "GET /images/general/loading.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:23:03 -0300] "GET /images/AdministrationImage.jpg HTTP/1.1" 200 40507
212.47.227.163 - - [09/Oct/2017:00:23:13 -0300] "GET / HTTP/1.1" 200 4967
186.213.7.225 - deppi [09/Oct/2017:00:31:34 -0300] "GET /workspace/pt/showcase/import-export?csrf=06765064 HTTP/1.1" 200 250145
186.213.7.225 - deppi [09/Oct/2017:00:31:34 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:31:34 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:31:35 -0300] "GET /images/general/close.png HTTP/1.1" 200 1026
186.213.7.225 - deppi [09/Oct/2017:00:31:36 -0300] "GET /images/general/32x32/info.png HTTP/1.1" 200 1632
186.213.7.225 - deppi [09/Oct/2017:00:31:40 -0300] "GET /workspace/pt/showcase/import-export?idPanel=1564&pAction=_select&csrf=65782352&ajaxAction=true HTTP/1.1" 200 26286
186.213.7.225 - deppi [09/Oct/2017:00:31:58 -0300] "POST /workspace/pt/showcase/import-export?csrf=45491330 HTTP/1.1" 200 254820
186.213.7.225 - deppi [09/Oct/2017:00:31:59 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:31:59 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:31:59 -0300] "GET /images/general/32x32/info.gif HTTP/1.1" 200 1653
186.213.7.225 - deppi [09/Oct/2017:00:32:02 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:32:02 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:32:02 -0300] "POST /Controller?csrf=68736508 HTTP/1.1" 200 249560
186.213.7.225 - deppi [09/Oct/2017:00:32:04 -0300] "GET /workspace/pt/showcase/import-export?idPanel=2039&pAction=_select&csrf=78120088&ajaxAction=true HTTP/1.1" 200 26351
186.213.7.225 - deppi [09/Oct/2017:00:32:07 -0300] "GET /workspace/pt/showcase/import-export?idPanel=1560&pAction=_select&csrf=63365769&ajaxAction=true HTTP/1.1" 200 25959
186.213.7.225 - deppi [09/Oct/2017:00:32:22 -0300] "POST /workspace/pt/showcase/import-export?idPanel=1560&pAction=startImport&csrf=27302404 HTTP/1.1" 200 258510
186.213.7.225 - deppi [09/Oct/2017:00:32:22 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:32:22 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:32:28 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:32:28 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:32:28 -0300] "GET /workspace/pt/showcase/import-export?idPanel=1560&pAction=import&importItem_0+0=true&importItem_0+1=true&importItem_0+2=true HTTP/1.1" 200 256035
186.213.7.225 - deppi [09/Oct/2017:00:32:28 -0300] "GET /images/general/16x16/ico-ok.png HTTP/1.1" 200 1173
186.213.7.225 - deppi [09/Oct/2017:00:32:31 -0300] "POST /workspace/pt/showcase/import-export?idPanel=1560&pAction=GoToStart&csrf=52722443 HTTP/1.1" 200 2006
186.213.7.225 - deppi [09/Oct/2017:00:32:58 -0300] "POST /Controller?csrf=52722443 HTTP/1.1" 200 13049
186.213.7.225 - deppi [09/Oct/2017:00:32:58 -0300] "GET /images/general/32x32/error.gif HTTP/1.1" 200 1536
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /templates/css/administration_bar.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /templates/css/panel_properties.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /section/css/RenderSection.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /images/home-image.jpg HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /envelopes/Default_Envelope/images/Bg_Top-left.jpg HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /envelopes/Default_Envelope/images/General_Logo.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:44 -0300] "GET /envelopes/Default_Envelope/images/Bg_Top-right.jpg HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:45 -0300] "POST /Controller?csrf=52722443 HTTP/1.1" 200 212720
186.213.7.225 - deppi [09/Oct/2017:00:33:47 -0300] "POST /Controller?csrf=42459384 HTTP/1.1" 200 121561
186.213.7.225 - deppi [09/Oct/2017:00:33:47 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:47 -0300] "GET /envelopes/Envelope_IFCE/styles.css HTTP/1.1" 200 2703
186.213.7.225 - deppi [09/Oct/2017:00:33:47 -0300] "GET /components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:47 -0300] "GET /components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:47 -0300] "GET /templates/css/administration_bar.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:47 -0300] "GET /section/css/RenderSection.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:47 -0300] "GET /templates/css/panel_properties.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:33:47 -0300] "GET /images/general/32x32/error.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "POST /Controller?csrf=74564543 HTTP/1.1" 200 212720
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /envelopes/Default_Envelope/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /templates/css/administration_bar.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /section/css/RenderSection.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /templates/css/panel_properties.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /images/general/movePanel.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /images/general/PopMenu.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /images/panelProperties/EditMod.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /images/panelProperties/PropertiesMod.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /images/panelProperties/Erase.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /images/panelProperties/HelpMod.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /images/panelProperties/CloseMenu.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /images/general/resize.gif HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /images/home-image.jpg HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /envelopes/Default_Envelope/images/Bg_Top-left.jpg HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /envelopes/Default_Envelope/images/General_Logo.png HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:36 -0300] "GET /envelopes/Default_Envelope/images/Bg_Top-right.jpg HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /templates/css/administration_bar.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /section/css/RenderSection.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /templates/css/panel_properties.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /images/deppi.png HTTP/1.1" 404 983
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /envelopes/Envelope_IFCE/images/Bg_Top-left.jpg HTTP/1.1" 200 17813
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /envelopes/Envelope_IFCE/images/General_Logo.png HTTP/1.1" 200 7509
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /envelopes/Envelope_IFCE/images/Bg_Top-right.jpg HTTP/1.1" 200 17813
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /images/logo_if.png HTTP/1.1" 404 987
186.213.7.225 - deppi [09/Oct/2017:00:34:38 -0300] "GET /images/Barra_Menu.png HTTP/1.1" 404 993
186.213.7.225 - deppi [09/Oct/2017:00:34:39 -0300] "POST /Controller?csrf=53168038 HTTP/1.1" 200 213288
186.213.7.225 - deppi [09/Oct/2017:00:34:39 -0300] "GET /images/home_page.jpg HTTP/1.1" 404 991
186.213.7.225 - deppi [09/Oct/2017:00:35:51 -0300] "GET /Controller?csrf=53168038 HTTP/1.1" 200 213288
186.213.7.225 - deppi [09/Oct/2017:00:35:51 -0300] "GET /skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:35:51 -0300] "GET /envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:35:51 -0300] "GET /components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
186.213.7.225 - deppi [09/Oct/2017:00:35:51 -0300] "GET /components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
