54.191.54.243 - - [17/Nov/2017:00:28:51 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [17/Nov/2017:00:31:11 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [17/Nov/2017:00:40:45 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [17/Nov/2017:02:10:43 -0300] "GET / HTTP/1.1" 404 -
212.21.66.6 - - [17/Nov/2017:02:14:21 -0300] "PUT /zdTYuOzezs.jsp/ HTTP/1.1" 404 -
163.172.179.129 - - [17/Nov/2017:03:27:47 -0300] "PUT /EshTrqfset.jsp/ HTTP/1.1" 404 -
212.47.244.68 - - [17/Nov/2017:04:34:22 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [17/Nov/2017:04:54:09 -0300] "GET / HTTP/1.1" 404 -
64.213.247.80 - - [17/Nov/2017:05:52:00 -0300] "HEAD / HTTP/1.0" 404 -
121.39.88.19 - - [17/Nov/2017:06:08:46 -0300] "CONNECT 50.117.38.171:443 HTTP/1.0" 400 -
212.47.244.68 - - [17/Nov/2017:06:13:04 -0300] "GET / HTTP/1.1" 404 -
141.212.122.96 - - [17/Nov/2017:06:14:00 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [17/Nov/2017:07:06:53 -0300] "GET / HTTP/1.1" 404 -
119.249.54.139 - - [17/Nov/2017:07:42:42 -0300] "GET /invoker/JMXInvokerServlet HTTP/1.1" 404 -
10.50.14.27 - - [17/Nov/2017:07:52:23 -0300] "GET /estagios/ HTTP/1.1" 200 6268
10.50.14.27 - - [17/Nov/2017:07:52:23 -0300] "GET /estagios/ HTTP/1.1" 200 6268
10.50.14.27 - - [17/Nov/2017:07:52:23 -0300] "GET /favicon.ico HTTP/1.1" 404 -
10.50.14.27 - - [17/Nov/2017:07:52:29 -0300] "POST /estagios/j_security_check HTTP/1.1" 302 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 200 115812
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 200 3579
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 200 149361
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 200 4207
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 200 15395
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 200 10462
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 200 8600
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 200 6510
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 200 9428
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 200 8133
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 200 11406
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 200 10318
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 200 20898
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/common/rs/popup.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/scriptaculous.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 200 10901
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/ckeditor/ckeditor.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/prototype.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/templates/css/panel_properties.css HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/templates/css/administration_bar.css HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.50.14.27 - deppi [17/Nov/2017:07:52:30 -0300] "GET /estagios/section/css/RenderSection.css HTTP/1.1" 304 -
