121.39.88.19 - - [21/Nov/2017:00:22:13 -0300] "CONNECT 50.117.38.171:443 HTTP/1.0" 400 -
212.47.227.163 - - [21/Nov/2017:01:03:44 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [21/Nov/2017:01:29:29 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [21/Nov/2017:02:02:11 -0300] "GET / HTTP/1.1" 404 -
173.14.235.226 - - [21/Nov/2017:02:20:55 -0300] "GET / HTTP/1.1" 404 -
173.14.235.226 - - [21/Nov/2017:02:21:29 -0300] "GET /HNAP1/ HTTP/1.1" 404 -
163.172.168.251 - - [21/Nov/2017:03:54:46 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [21/Nov/2017:03:55:36 -0300] "GET / HTTP/1.1" 404 -
77.241.196.130 - - [21/Nov/2017:05:20:25 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [21/Nov/2017:05:47:40 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [21/Nov/2017:05:52:49 -0300] "GET / HTTP/1.1" 404 -
218.28.0.150 - - [21/Nov/2017:05:56:57 -0300] "GET /manager/html HTTP/1.1" 401 2536
218.28.0.150 - - [21/Nov/2017:05:56:58 -0300] "GET /manager/html HTTP/1.1" 401 2536
218.28.0.150 - - [21/Nov/2017:05:56:58 -0300] "GET /manager/html HTTP/1.1" 401 2536
218.28.0.150 - - [21/Nov/2017:05:56:59 -0300] "GET /manager/html HTTP/1.1" 401 2536
218.28.0.150 - - [21/Nov/2017:05:56:59 -0300] "GET /manager/html HTTP/1.1" 401 2536
212.47.244.68 - - [21/Nov/2017:06:27:35 -0300] "GET / HTTP/1.1" 404 -
212.47.227.163 - - [21/Nov/2017:06:46:49 -0300] "GET / HTTP/1.1" 404 -
10.50.22.13 - - [21/Nov/2017:07:25:50 -0300] "GET /estagios/ HTTP/1.1" 200 6268
10.50.22.13 - - [21/Nov/2017:07:25:51 -0300] "GET /favicon.ico HTTP/1.1" 404 -
10.50.22.13 - - [21/Nov/2017:07:25:57 -0300] "POST /estagios/j_security_check HTTP/1.1" 302 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/nv.d3.min.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/tooltip.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/utils.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/prototype.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/ HTTP/1.1" 200 111248
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/ckeditor/ckeditor.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/common/rs/popup.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/js/lib/scriptaculous-js-1.9.0/scriptaculous.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/envelopes/Envelope_IFCE/styles.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/templates/css/panel_properties.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/section/css/RenderSection.css HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/components/bam/displayer/chart/nvd3/src/models/axis.js HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/images/deppi.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/images/logo_if.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/images/Barra_Menu.png HTTP/1.1" 304 -
10.50.22.13 - usuario [21/Nov/2017:07:25:58 -0300] "GET /estagios/images/general/resize.gif HTTP/1.1" 304 -
